Tytuł polski,Tytuł angielski,Czas (min),Nagrody MDAG,Nominacje MDAG,Kraj,Ocena Filmweb,Głosy Filmweb,Link MDAG,Link Filmweb
Freak Show,Freak Show,75,0,1,Polska,6.9,95,https://mdag.pl/pl/ogladaj-online/23/film/freak-show,https://www.filmweb.pl/film/Freak+Show-2026-10065590
Gorzkie owoce,Fruits of Despair,29,0,1,Iran,6.8,18,https://mdag.pl/pl/ogladaj-online/23/film/gorzkie-owoce,https://www.filmweb.pl/film/Gorzkie+owoce-2026-10117183
Habibi Hussein,Habibi Hussein,96,0,0,—,7.2,39,https://mdag.pl/pl/ogladaj-online/23/film/habibi-hussein,https://www.filmweb.pl/film/Habibi+Hussein-2025-10119409
Hassan,Hassan,30,0,1,Francja/Palestyna,6.8,23,https://mdag.pl/pl/ogladaj-online/23/film/blok-1-przerwane-dorastanie-1,https://www.filmweb.pl/film/Hassan-2025-10118984
Henry to dziewczyna która lubi pospać,Henry Is a Girl Who Likes to Sleep,14,0,0,—,5.2,12,https://mdag.pl/pl/ogladaj-online/23/film/henry-to-dziewczyna-ktora-lubi-pospac,https://www.filmweb.pl/film/Henry+to+dziewczyna%2C+kt%C3%B3ra+lubi+pospa%C4%87-2026-10116954
Idź z duszą na dłoni,Put Your Soul on Your Hand and Walk,113,0,0,—,6.6,107,https://mdag.pl/pl/ogladaj-online/23/film/idz-z-dusza-na-dloni,https://www.filmweb.pl/film/Id%C5%BA+z+dusz%C4%85+na+d%C5%82oni-2025-10081526
Irvine Welsh. Rzeczywistość to za mało,Irvine Welsh: Reality Is Not Enough,90,0,0,—,5.5,50,https://mdag.pl/pl/ogladaj-online/23/film/irvine-welsh-rzeczywistosc-to-za-malo,https://www.filmweb.pl/film/Irvine+Welsh.+Rzeczywisto%C5%9B%C4%87+to+za+ma%C5%82o-2025-10120054
Istoty czujące,Sentient Beings,,,0,—,7.6,31,,https://www.filmweb.pl/film/Istoty+czuj%C4%85ce-2026-10111760
Jak głęboka jest twoja miłość?,How Deep is Your Love,100,0,1,Wielka Brytania,7.2,62,https://mdag.pl/pl/ogladaj-online/23/film/jak-gleboka-jest-twoja-milosc,https://www.filmweb.pl/film/Jak+g%C5%82%C4%99boka+jest+twoja+mi%C5%82o%C5%9B%C4%87-2025-10107580
Jak złapać motyla?,How to Catch a Butterfly,27,1,0,Holandia,7.2,20,https://mdag.pl/pl/ogladaj-online/23/film/jak-zlapac-motyla,https://www.filmweb.pl/film/Jak+z%C5%82apa%C4%87+motyla-2026-10118988
Jak zrobić film o betonie,How to Make a Film About Concrete,,,0,—,7.4,324,,https://www.filmweb.pl/film/Jak+zrobi%C4%87+film+o+betonie-2026-10111735
Jane Elliot kontra reszta świata,Jane Elliott vs. the World,,,0,—,7.7,44,,https://www.filmweb.pl/film/Jane+Elliot+kontra+reszta+%C5%9Bwiata-2026-10111736
Jedna na milion,One in a Million,,,0,—,7.0,5,,https://www.filmweb.pl/film/Jedna+na+milion-2026-10111761
Joybubbles,Joybubbles,,,0,—,7.3,45,,https://www.filmweb.pl/film/Joybubbles-2026-10110914
Jutro było wczoraj,Tomorrow Was Yesterday,,,0,—,6.4,8,,https://www.filmweb.pl/film/Jutro+by%C5%82o+wczoraj-2025-10107853
Już dość,Enough,,,0,—,6.0,16,,https://www.filmweb.pl/film/Ju%C5%BC+do%C5%9B%C4%87-2026-10114506
Kandydaci śmierci,Death Candidates,,,0,—,8.3,469,,https://www.filmweb.pl/film/Kandydaci+%C5%9Bmierci-2025-10105405
Kikuyu Land,Kikuyu Land,94,0,0,—,6.0,15,https://mdag.pl/pl/ogladaj-online/23/film/ziemia-kikuju,https://www.filmweb.pl/film/Kikuyu+Land-2026-10111981
Kłopotliwy niedźwiedź,Troublesome Bear,,,0,—,6.7,146,,https://www.filmweb.pl/film/K%C5%82opotliwy+nied%C5%BAwied%C5%BA-2026-10111098
Krokodyl,Crocodile,100,1,1,Nowa Zelandia/Nigeria,6.8,39,https://mdag.pl/pl/ogladaj-online/23/film/krokodyl,https://www.filmweb.pl/film/Krokodyl-2026-10116978
Król Hamlet,King Hamlet,,,0,—,6.9,46,,https://www.filmweb.pl/film/Kr%C3%B3l+Hamlet-2025-10118877
Królowe taksówek,Auto Queens,30,0,1,Indie,6.9,15,https://mdag.pl/pl/ogladaj-online/23/film/blok-6-czego-pozadamy-o-czym-marzymy-2,https://www.filmweb.pl/film/Kr%C3%B3lowe+taks%C3%B3wek-2025-10118989
Kto zabił Alexa Odeha?,Who Killed Alex Odeh?,,,0,—,6.3,7,,https://www.filmweb.pl/film/Kto+zabi%C5%82+Alexa+Odeha-2026-10110919
La Scala. Moc przeznaczenia,La Scala: The Force of Destiny,93,0,2,Francja/Włochy,6.1,15,https://mdag.pl/pl/ogladaj-online/23/film/la-scala-moc-przeznaczenia,https://www.filmweb.pl/film/La+Scala.+Moc+przeznaczenia-2025-10116080
Lech Janerka – śpij śpij inteligencie,Lech Janerka – Sleep Sleep Intelligentsia,,,0,Polska,7.0,18,, https://www.filmweb.pl/film/Lech+Janerka+%E2%80%93+%C5%9Bpij%2C+%C5%9Bpij+inteligencie-2025-10121436
Lis i różowy księżyc,A Fox Under a Pink Moon,77,3,2,Dania/Francja/Iran/USA/W.Brytania,7.8,302,https://mdag.pl/pl/ogladaj-online/23/film/lis-i-rozowy-ksiezyc,https://www.filmweb.pl/film/Lis+i+r%C3%B3%C5%BCowy+ksi%C4%99%C5%BCyc-2025-10118815
Lombard,The Pawnshop,75,0,0,—,7.4,4654,https://mdag.pl/pl/ogladaj-online/23/film/lombard,https://www.filmweb.pl/film/Lombard-2022-10011431
Love-22-Love,Love-22-Love,84,0,0,—,7.0,92,https://mdag.pl/pl/ogladaj-online/23/film/love-22-love,https://www.filmweb.pl/film/Love+22+Love-2025-10120372
Małe duże i daleko,Small Big and Far Away,,,0,—,5.2,5,,https://www.filmweb.pl/film/Ma%C5%82e%2C+du%C5%BCe+i+daleko-2024-10062490
Maluję swój autoportret a wychodzi mi moja siostra,I'm Painting a Self-portrait...,11,0,1,Polska,7.2,17,https://mdag.pl/pl/ogladaj-online/23/film/maluje-swoj-autoportret-a-wychodzi-mi-moja-siostra,https://www.filmweb.pl/film/Maluj%C4%99+sw%C3%B3j+autoportret%2C+a+wychodzi+mi+moja+siostra-2026-10118973
Mam rzekę we krwi,I Follow Rivers,98,0,0,—,7.1,44,https://mdag.pl/pl/ogladaj-online/23/film/mam-rzeke-we-krwi,https://www.filmweb.pl/film/Mam+rzek%C4%99+we+krwi-2026-10118870
Mamo czy żyrafy płaczą?,Amma Do Giraffes Cry?,26,0,1,Czechy,5.8,26,https://mdag.pl/pl/ogladaj-online/23/film/mamo-czy-zyrafy-placza,https://www.filmweb.pl/film/Mamo%2C+czy+%C5%BCyrafy+p%C5%82acz%C4%85-2025-10118997
Mariinka,Mariinka,95,2,3,Belgia/Holandia/Niemcy/Szwecja,7.4,124,https://mdag.pl/pl/ogladaj-online/23/film/mariinka,https://www.filmweb.pl/film/Mariinka-2026-10121011
Marlee Matlin nie jesteś sama,Marlee Matlin: Not Alone,,,0,—,7.2,25,,https://www.filmweb.pl/film/Marlee+Matlin%2C+nie+jeste%C5%9B+sama-2025-10074518
Mentor,Mentor,14,0,1,Polska,7.5,37,https://mdag.pl/pl/ogladaj-online/23/film/blok-1-przerwane-dorastanie-2,https://www.filmweb.pl/film/Mentor-2026-10118976
Meredith Monk – Portret w kawałkach,Monk in Pieces,95,0,0,—,7.2,44,https://mdag.pl/pl/ogladaj-online/23/film/meredith-monk-portret-w-kawalkach,https://www.filmweb.pl/film/Meredith+Monk+portret+w+kawa%C5%82kach-2025-10070495
Miasto poetów,City of Poets,22,0,1,Holandia,7.1,34,https://mdag.pl/pl/ogladaj-online/23/film/miasto-poetow,https://www.filmweb.pl/film/Miasto+Poet%C3%B3w-2024-10048146
Militantropos,Militantropos,111,0,0,—,7.1,15,https://mdag.pl/pl/ogladaj-online/23/film/militantropos,https://www.filmweb.pl/film/Militantropos-2025-10079173
Mistrz przemówień,Master of Speeches,,,0,—,7.2,17,,https://www.filmweb.pl/film/Mistrz+przem%C3%B3wie%C5%84-2026-10111307
Mistrzostwa świata w gwizdaniu,Whistle,84,0,0,—,7.5,57,https://mdag.pl/pl/ogladaj-online/23/film/mistrzostwa-swiata-w-gwizdaniu,https://www.filmweb.pl/film/Mistrzostwa+%C5%9Bwiata+w+gwizdaniu-2025-10099679
Moi Themersonowie,My Themersons,80,0,3,Polska,6.4,100,https://mdag.pl/pl/ogladaj-online/23/film/moi-themersonowie,https://www.filmweb.pl/film/Moi+Themersonowie-2026-10119677
Moje dziecko,My Child,,,0,—,5.9,75,,https://www.filmweb.pl/film/Moje+dziecko-2026-10113962
Moje wszystkie głosy,My Word Against Mine,112,1,0,Holandia,7.7,100,https://mdag.pl/pl/ogladaj-online/23/film/moje-wszystkie-glosy,https://www.filmweb.pl/film/Moje+wszystkie+g%C5%82osy-2025-10120840
Molly kontra algorytmy,Molly vs the Machines,83,0,0,—,6.0,24,https://mdag.pl/pl/ogladaj-online/23/film/molly-kontra-algorytmy,https://www.filmweb.pl/film/Molly+kontra+algorytmy-2026-10122936
Na końcu internetu,The End of the Internet,88,0,0,—,5.6,29,https://mdag.pl/pl/ogladaj-online/23/film/na-koncu-internetu,https://www.filmweb.pl/film/Na+ko%C5%84cu+internetu-2025-10122971
Na niebieskiej drodze – historia Edny O'Brien,Blue Road – The Edna O'Brien Story,99,0,1,Irlandia/Wielka Brytania,7.3,19,https://mdag.pl/pl/ogladaj-online/23/film/na-niebieskiej-drodze-historia-edny-o-brien,https://www.filmweb.pl/film/Na+niebieskiej+drodze+historia+Edny+O%27Brien-2024-10065830
Najpiękniejszy mężczyzna na świecie,The Most Beautiful Man in the World,,,0,—,6.6,9,,https://www.filmweb.pl/film/Najpi%C4%99kniejszy+m%C4%99%C5%BCczyzna+na+%C5%9Bwiecie-2026-10117503
Najstarsza osoba na świecie,The Oldest Person in the World,,,0,—,7.0,122,,https://www.filmweb.pl/film/Najstarsza+osoba+na+%C5%9Bwiecie-2026-10112398
Naturalna dzikość serca,A New Kind of Wilderness,83,0,0,—,7.2,1122,https://mdag.pl/pl/ogladaj-online/23/film/naturalna-dzikosc-serca,https://www.filmweb.pl/film/Naturalna+dziko%C5%9B%C4%87+serca-2024-874356
Niedźwiedzica,Frost Without Snow and Ice,96,0,1,Niemcy/Norwegia,7.3,89,https://mdag.pl/pl/ogladaj-online/23/film/niedzwiedzica,https://www.filmweb.pl/film/Nied%C5%BAwiedzica-2026-10120396
Nóż i wersety zamach na Salmana Rushdiego,Knife and Verses,,,0,—,7.1,21,,https://www.filmweb.pl/film/N%C3%B3%C5%BC+i+wersety%3A+zamach+na+Salmana+Rushdiego-2026-10111977
Nurt,Current,,,0,—,7.4,90,,https://www.filmweb.pl/film/Nurt-2026-10119680
O czasie i wodzie,About Time and Water,,,0,—,7.1,238,,https://www.filmweb.pl/film/O+czasie+i+wodzie-2026-10112397
Oferta (Cold Call),Cold Call,,,0,—,4.8,4,,https://www.filmweb.pl/film/Cold+Call-2025-10122841
Ogień w nas,A Fire There,94,0,0,—,6.0,20,https://mdag.pl/pl/ogladaj-online/23/film/ogien-w-nas,https://www.filmweb.pl/film/Ogie%C5%84+w+nas-2026-10120389
Ona,She,,,0,—,5.8,19,,https://www.filmweb.pl/film/Ona-2025-10090991
Orwell: 2 + 2 = 5,Orwell: 2 + 2 = 5,119,0,2,Francja/USA,5.7,182,https://mdag.pl/pl/ogladaj-online/23/film/orwell-2-2-5,https://www.filmweb.pl/film/Orwell%3A+2+%2B+2+%3D+5-2025-10078613
Pani z Północy pozna pana z Południa,North Lady Meets South Man,,,0,—,6.3,79,,https://www.filmweb.pl/film/Pani+z+P%C3%B3%C5%82nocy+pozna+pana+z+Po%C5%82udnia-2025-10103138
Piąta pora roku,The Fifth Season,60,0,0,—,4.8,38,https://mdag.pl/pl/ogladaj-online/23/film/piata-pora-roku,https://www.filmweb.pl/film/Pi%C4%85ta+pora+roku-2025-10118872
Pieniądze to wszystko,Money Is Everything,,,0,—,7.2,125,,https://www.filmweb.pl/film/Pieni%C4%85dze+to+wszystko-2026-10110910
Piękny rok,La belle année,94,0,0,—,6.1,18,https://mdag.pl/pl/ogladaj-online/23/film/piekny-rok,https://www.filmweb.pl/film/Pi%C4%99kny+rok-2026-10116272
Pieśni lasu,Songs of the Forest,,,0,—,8.2,331,,https://www.filmweb.pl/film/Pie%C5%9Bni+lasu-2025-10111381
Pieśni wielorybów,Whale Nation,88,0,0,—,6.7,1481,https://mdag.pl/pl/ogladaj-online/23/film/piesni-wielorybow,https://www.filmweb.pl/film/Pie%C5%9Bni+wieloryb%C3%B3w-2023-10032372
Pod osłoną lasu,Life Beyond the Pine Curtain,77,0,0,—,5.7,25,https://mdag.pl/pl/ogladaj-online/23/film/pod-oslona-lasu,https://www.filmweb.pl/film/Pod+os%C5%82on%C4%85+lasu-2025-10097887
Pod powierzchnią *,Bedrock,102,0,0,Kanada/Polska,6.6,439,,https://www.filmweb.pl/film/Pod+powierzchni%C4%85-2025-10070375
Pod Rzymem nad Tybrem,Cesare Through Time,90,0,0,—,6.7,14,https://mdag.pl/pl/ogladaj-online/23/film/pod-rzymem-nad-tybrem,https://www.filmweb.pl/film/Pod+Rzymem%2C+nad+Tybrem-2024-10120275
Polityczki mimo woli,Not Made For Politics,89,0,0,—,7.2,9,https://mdag.pl/pl/ogladaj-online/23/film/polityczki-mimo-woli,https://www.filmweb.pl/film/Polityczki+mimo+woli-2025-10122170
Pomiędzy woskiem i złotem,Wax & Gold,97,0,3,Austria/Włochy,6.0,112,https://mdag.pl/pl/ogladaj-online/23/film/pomiedzy-woskiem-i-zlotem,https://www.filmweb.pl/film/Pomi%C4%99dzy+woskiem+i+z%C5%82otem-2026-10116504
Portret zdezorientowanego ojca,Portrait of a Confused Father,92,0,0,Norwegia,7.1,503,https://mdag.pl/pl/ogladaj-online/23/film/portret-zdezorientowanego-ojca,https://www.filmweb.pl/film/Portret+zdezorientowanego+ojca-2025-10077205
Portret który uratował mi życie,I Believe the Portrait Saved Me,10,0,1,Holandia/Kosowo,6.0,13,https://mdag.pl/pl/ogladaj-online/23/film/blok-4-sytuacje-graniczne-2,https://www.filmweb.pl/film/Portret%2C+kt%C3%B3ry+uratowa%C5%82+mi+%C5%BCycie-2025-10073607
Poza kadrem,The Hidden Face of the Earth,68,0,1,Francja,6.0,41,https://mdag.pl/pl/ogladaj-online/23/film/poza-kadrem,https://www.filmweb.pl/film/Poza+kadrem-2026-10116913
Prawie na zawsze,Almost Forever,86,0,0,—,6.4,41,https://mdag.pl/pl/ogladaj-online/23/film/prawie-na-zawsze,https://www.filmweb.pl/film/Prawie+na+zawsze-2026-10122808
Proszę nie siadać,Please Do Not Sit,60,0,0,—,6.7,38,https://mdag.pl/pl/ogladaj-online/23/film/prosze-nie-siadac,https://www.filmweb.pl/film/Prosz%C4%99+nie+siada%C4%87-2026-10122942
Przepis na demokrację,Cooking Up Democracy,83,0,0,—,4.0,1,https://mdag.pl/pl/ogladaj-online/23/film/przepis-na-demokracje,https://www.filmweb.pl/film/Przepis+na+demokracj%C4%99-2026-10118883
Przesuwając granice,Shifting Baselines,101,0,1,Kanada,5.8,33,https://mdag.pl/pl/ogladaj-online/23/film/przesuwajac-granice,https://www.filmweb.pl/film/Przesuwaj%C4%85c+granice-2025-10121506
Ptaki wojny,Birds of War,,,0,—,6.2,4,,https://www.filmweb.pl/film/Ptaki+wojny-2026-10111980
Remake,Remake,,,0,—,7.3,18,,https://www.filmweb.pl/film/Remake-2025-10093360
Riefenstahl,Riefenstahl,115,0,0,—,7.1,727,https://mdag.pl/pl/ogladaj-online/23/film/riefenstahl,https://www.filmweb.pl/film/Riefenstahl-2024-10057579
Rio nadal jest piękne,Rio Remains Beautiful,24,0,1,Belgia/Brazylia/Szwajcaria,6.1,19,https://mdag.pl/pl/ogladaj-online/23/film/blok-2-wszystko-zostaje-w-rodzinie-1,https://www.filmweb.pl/film/Rio+nadal+jest+pi%C4%99kne-2025-10118999
Roberto Rossellini – życie bez scenariusza,Roberto Rossellini – Living Without A Script,86,0,2,Włochy,7.2,20,https://mdag.pl/pl/ogladaj-online/23/film/roberto-rossellini-zycie-bez-scenariusza,https://www.filmweb.pl/film/Roberto+Rossellini+%E2%80%93+%C5%BCycie+bez+scenariusza-2025-10118721
Runa Simi,Runa Simi,86,0,0,—,7.7,22,https://mdag.pl/pl/ogladaj-online/23/film/runa-simi,https://www.filmweb.pl/film/Runa+simi-2025-10118396
Sama nie wiem,I'm Not Sure,10,0,1,Szwajcaria,7.0,21,https://mdag.pl/pl/ogladaj-online/23/film/sama-nie-wiem,https://www.filmweb.pl/film/Sama+nie+wiem-2025-10119000
Sawyer Avenue niedzielne popołudnie,Sawyer Avenue Sunday Afternoon,,,0,—,6.4,9,,https://www.filmweb.pl/film/Sawyer+Avenue%2C+niedzielne+popo%C5%82udnie-2026-10122945
Ścieżka dźwiękowa zamachu stanu,Soundtrack to a Coup d'Etat,150,0,0,—,7.4,713,https://mdag.pl/pl/ogladaj-online/23/film/sciezka-dzwiekowa-zamachu-stanu,https://www.filmweb.pl/film/%C5%9Acie%C5%BCka+d%C5%BAwi%C4%99kowa+zamachu+stanu-2024-10046250
Sekretne życie roślin,Flying Scents – Of Plants & People,66,0,1,Szwajcaria,5.4,50,https://mdag.pl/pl/ogladaj-online/23/film/sekretne-zycie-roslin,https://www.filmweb.pl/film/Sekretne+%C5%BCycie+ro%C5%9Blin-2025-10091917
Simona,Simona,91,0,0,—,7.4,2954,https://mdag.pl/pl/ogladaj-online/23/film/simona,https://www.filmweb.pl/film/Simona-2022-10012343
Siostrzeństwo świętej sauny,Smoke Sauna Sisterhood,89,0,0,—,7.2,4016,https://mdag.pl/pl/ogladaj-online/23/film/siostrzenstwo-swietej-sauny,https://www.filmweb.pl/film/Siostrze%C5%84stwo+%C5%9Bwi%C4%99tej+sauny-2023-10031860
Siri Hustvedt i wspomnienia przyszłości,Siri Hustvedt and Memories of the Future,,,0,—,6.8,23,,https://www.filmweb.pl/film/Siri+Hustvedt+i+wspomnienia+przysz%C5%82o%C5%9Bci-2026-10116905
Ślady,Traces,85,2,0,Polska/Ukraina,7.3,69,https://mdag.pl/pl/ogladaj-online/23/film/slady,https://www.filmweb.pl/film/%C5%9Alady-2026-10116960
Sny o lepszej przeszłości,Dreams for a Better Past,21,0,0,—,5.7,3,https://mdag.pl/pl/ogladaj-online/23/film/sny-o-lepszej-przeszlosci,https://www.filmweb.pl/film/Sny+o+lepszej+przesz%C5%82o%C5%9Bci-2025-10122843
Śpiewając daleko od domu,A Song Without Home,75,0,1,Austria/Dania/Gruzja/USA,6.9,22,https://mdag.pl/pl/ogladaj-online/23/film/spiewajac-daleko-od-domu,https://www.filmweb.pl/film/%C5%9Apiewaj%C4%85c+daleko+od+domu-2026-10118002
Sun Ra. Wizja staje się dźwiękiem,Sun Ra: Do The Impossible,85,0,2,USA,6.2,40,https://mdag.pl/pl/ogladaj-online/23/film/sun-ra-wizja-staje-sie-dzwiekiem,https://www.filmweb.pl/film/Sun+Ra%3A+Wizja+staje+si%C4%99+d%C5%BAwi%C4%99kiem-2025-10120565
Świat po pracy,After Work,81,0,0,—,6.4,2009,https://mdag.pl/pl/ogladaj-online/23/film/swiat-po-pracy,https://www.filmweb.pl/film/%C5%9Awiat+po+pracy-2023-10032747
Sygnalista,Whistleblower,91,0,1,Niemcy,5.3,62,https://mdag.pl/pl/ogladaj-online/23/film/sygnalista,https://www.filmweb.pl/film/Sygnalista-2025-10121504
Syn uzdrowiciela,Supernatural,84,0,0,—,6.0,46,https://mdag.pl/pl/ogladaj-online/23/film/syn-uzdrowiciela,https://www.filmweb.pl/film/Syn+uzdrowiciela-2025-10122968
Szkoda że nareszcie,At Least. At Last.,95,0,0,Polska,7.5,612,https://mdag.pl/pl/ogladaj-online/23/film/szkoda-ze-nareszcie,https://www.filmweb.pl/film/Szkoda%2C+%C5%BCe+nareszcie-2025-10080944
Szukając równowagi,Elements of(f) Balance,98,0,1,Austria,5.7,9,https://mdag.pl/pl/ogladaj-online/23/film/szukajac-rownowagi,https://www.filmweb.pl/film/Szukaj%C4%85c+r%C3%B3wnowagi-2025-10121508
Tajemniczy prezent,The Mysterious Gift,,,0,—,7.0,65,,https://www.filmweb.pl/film/Tajemniczy+prezent-2026-10120394
Tokio na winylach,A Century in Sound,106,0,0,—,7.1,160,https://mdag.pl/pl/ogladaj-online/23/film/tokio-na-winylach,https://www.filmweb.pl/film/Tokio+na+winylach-2024-10122787
Twin Days,Twin Days,28,0,1,Polska,5.6,26,https://mdag.pl/pl/ogladaj-online/23/film/twin-days,https://www.filmweb.pl/film/Twin+Days-2026-10118974
Uciszone,Silenced,,,0,—,6.7,35,,https://www.filmweb.pl/film/Uciszone-2026-10110911
Underland,Underland,,,0,—,6.0,39,,https://www.filmweb.pl/film/Underland-2025-10113035
Upadek,Collapse,79,0,1,Izrael,6.6,31,https://mdag.pl/pl/ogladaj-online/23/film/upadek,https://www.filmweb.pl/film/Upadek-2026-10117385
